Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
103.62,35.27,51.81,0.06,4.88,2.60,2.00,1.00,23.00,3.50,2.20,45.27181383,0.99881711
748.51,286.19,53.46,0.05,4.34,2.38,14.00,1.86,24.71,3.71,2.13,318.7763334,0.486968585
351.78,117.60,21.99,0.14,4.97,1.38,16.00,2.50,10.50,2.25,2.66,228.6061673,1.217939933
86.85,41.81,43.42,0.05,3.45,2.75,2.00,1.00,19.00,3.00,1.97,47.64614689,0.229323408
133.85,54.48,66.92,0.04,4.08,3.01,2.00,1.00,28.00,3.50,1.82,48.32372162,0.098193626
720.50,157.52,60.04,0.08,7.60,1.93,12.00,2.00,25.67,3.17,2.86,231.8146219,0.84515801
751.35,210.95,53.67,0.07,5.91,2.00,14.00,2.29,24.00,3.29,2.83,290.5772279,-0.775985189
166.58,62.64,83.29,0.03,4.42,3.15,2.00,1.00,36.00,4.50,1.75,48.63162274,1.288383384
72.14,46.55,36.07,0.04,2.57,2.86,2.00,1.00,18.00,3.50,1.79,46.24719374,1.503068528
56.37,35.54,28.19,0.06,2.63,2.61,2.00,1.00,14.00,3.00,1.95,45.39597426,1.268811904
120.40,65.95,24.08,0.08,3.03,2.19,5.00,0.80,11.60,2.60,2.81,109.219812,0.929122482
764.44,177.50,54.60,0.08,7.15,2.10,14.00,2.00,24.29,3.29,2.86,268.6044602,1.311096626
41.78,23.50,20.89,0.09,2.95,1.97,2.00,2.00,10.00,2.50,2.12,29.61849826,2.726360389
165.76,111.40,11.05,0.13,2.47,1.67,15.00,1.20,5.20,2.00,2.14,159.6517102,2.095982528
41.99,25.89,20.99,0.08,2.69,2.35,2.00,1.00,10.00,2.50,2.46,45.51986876,1.385606274
479.70,162.98,39.98,0.07,4.89,2.01,12.00,1.50,18.00,2.75,3.55,247.2100194,0.522035396
264.93,89.09,132.46,0.02,4.94,3.54,2.00,1.00,54.00,5.50,1.50,49.29689743,1.024813933
144.48,52.42,72.24,0.04,4.58,2.57,2.00,1.00,32.00,4.00,2.14,46.65844097,1.38268329
188.08,128.63,31.35,0.05,2.43,3.00,6.00,0.67,15.33,3.33,1.41,139.0786471,0.962577671
169.39,67.31,84.70,0.03,4.18,3.23,2.00,1.00,36.00,4.50,1.74,48.18664302,0.787680046
454.30,76.50,113.57,0.05,9.86,2.34,4.00,2.00,47.00,4.50,2.39,87.22504951,1.782130883
74.55,56.45,37.28,0.04,2.19,3.32,2.00,1.00,18.00,3.50,1.99,48.84156599,0.287264126
284.53,135.93,20.32,0.10,3.48,1.94,14.00,1.43,10.00,2.43,2.61,238.1187048,1.48036631
240.01,72.82,120.01,0.03,5.47,2.87,2.00,1.00,50.00,5.00,1.90,48.85980651,0.972124121
328.19,73.87,164.10,0.03,7.38,2.88,2.00,1.00,66.00,5.50,2.00,49.14922671,0.923264748
169.81,51.76,42.45,0.08,5.45,2.30,4.00,1.50,19.00,3.00,2.40,85.12505016,0.975765635
162.42,60.32,40.61,0.07,4.47,2.35,4.00,1.50,18.50,3.25,2.27,85.51272229,0.863301046
2094.65,817.77,130.92,0.02,4.25,3.74,16.00,1.38,53.88,5.63,1.28,396.643382,-1.0240752
1988.55,651.08,99.43,0.03,5.07,2.81,20.00,1.60,42.00,4.80,1.63,484.5476578,0.515644278
260.20,155.93,52.04,0.03,2.77,2.91,5.00,1.20,23.60,3.80,1.71,120.5727076,-0.005678447
248.16,119.79,41.36,0.05,3.44,2.72,6.00,0.67,18.67,3.00,2.10,111.6940384,0.691644265
436.48,157.20,72.75,0.04,4.61,2.95,6.00,0.67,30.67,3.67,2.02,117.8850958,0.582476239
530.48,179.33,88.41,0.03,4.91,3.03,6.00,0.67,36.67,4.00,1.92,119.8121676,0.336453063
102.91,29.77,51.46,0.07,5.74,2.46,2.00,2.00,23.00,3.50,2.13,42.02668561,1.30291508
484.95,305.94,34.64,0.05,2.63,2.50,14.00,1.43,16.86,3.29,2.05,314.7860455,0.856166783
546.22,275.41,39.02,0.05,3.29,2.33,14.00,2.14,18.71,3.43,2.08,316.0425648,0.697874201
286.16,60.20,143.08,0.03,7.89,3.11,2.00,2.00,58.00,5.00,2.18,49.24098594,0.062995401
450.39,168.67,34.65,0.08,4.43,1.97,13.00,1.85,16.46,2.85,2.78,252.7792467,0.38386322
469.71,208.68,78.29,0.03,3.74,3.26,6.00,1.33,33.33,4.33,1.42,146.3530625,-0.039405564
49.64,23.89,12.41,0.17,3.45,1.57,4.00,2.00,6.00,2.00,2.54,33.33397509,2.87395772
144.64,47.57,72.32,0.04,5.05,2.49,2.00,2.00,32.00,4.00,2.00,46.76246136,1.601799336
370.33,195.55,61.72,0.03,3.14,3.18,6.00,1.33,27.33,4.00,1.39,144.0825989,0.545459691
244.43,140.35,40.74,0.04,2.89,2.80,6.00,1.33,18.67,3.33,1.47,141.2052766,0.412398941
167.68,65.32,83.84,0.03,4.26,3.20,2.00,1.00,36.00,4.50,1.55,48.38945271,0.958592549
611.18,338.19,50.93,0.04,3.00,3.07,12.00,0.67,24.00,4.00,1.34,287.3470526,0.287973325
194.40,49.38,97.20,0.04,6.54,2.91,2.00,2.50,41.50,4.50,2.03,48.98327573,0.990072335
526.46,69.80,131.62,0.06,12.52,2.91,4.00,0.50,55.00,4.50,2.10,97.34211779,0.566060193
483.11,119.93,96.62,0.04,6.69,2.67,5.00,1.20,40.80,4.60,1.60,114.8701382,0.793804349
182.59,73.11,36.52,0.07,4.15,2.26,5.00,1.80,17.00,3.40,1.76,101.6884872,1.305630776
270.43,76.59,54.09,0.07,5.86,2.30,5.00,1.80,24.20,3.80,1.79,104.8133797,1.2504444
272.43,74.19,54.49,0.07,6.10,2.27,5.00,2.00,24.40,3.80,1.89,107.3894232,1.053539396
359.99,77.23,72.00,0.06,7.74,2.31,5.00,1.80,30.60,4.00,1.79,105.5534112,1.029302594
361.99,74.79,72.40,0.07,8.04,2.28,5.00,2.00,30.80,4.00,1.89,107.892045,0.936790115
46.80,30.56,15.60,0.10,2.54,2.15,3.00,0.67,7.33,2.33,1.74,50.32318115,1.409070438
218.32,25.95,109.16,0.08,13.97,2.56,2.00,3.00,45.00,4.50,2.05,44.72059399,1.365731271
40.11,46.19,20.05,0.04,1.44,2.85,2.00,1.00,10.00,2.50,1.51,38.3676007,0.912158263
56.97,25.74,28.48,0.08,3.67,2.34,2.00,1.50,13.50,3.00,1.96,40.78516305,1.718684336
216.29,74.76,108.14,0.03,4.80,3.34,2.00,1.00,45.00,5.00,1.72,49.02864084,0.977545279
215.79,51.65,43.16,0.10,6.94,2.02,5.00,2.40,20.00,3.40,1.96,101.588917,0.947237608
206.53,51.98,41.31,0.10,6.60,2.02,5.00,3.00,19.40,3.40,1.93,99.03496543,1.375974366
203.81,54.04,40.76,0.09,6.26,2.05,5.00,3.60,18.80,3.40,1.76,99.97498198,1.449216046
305.71,117.28,61.14,0.04,4.33,2.65,5.00,1.20,27.20,4.00,1.56,113.4008197,0.939813674
85.73,27.96,42.87,0.07,5.09,2.09,2.00,2.00,19.00,3.00,2.11,34.70225483,3.374821638
149.89,69.63,74.95,0.03,3.57,3.27,2.00,1.00,32.00,4.00,1.80,49.1063486,0.11116166
151.90,57.20,75.95,0.03,4.41,3.06,2.00,1.00,32.00,4.00,2.39,48.81893466,0.164650216
259.81,101.86,129.90,0.02,4.24,4.04,2.00,1.00,54.00,5.50,1.73,49.6964606,-0.026396531
260.50,103.34,52.10,0.05,4.19,2.54,5.00,1.00,23.40,3.80,1.58,111.5734474,0.902508729
632.42,71.52,126.48,0.07,14.68,2.25,5.00,2.20,51.40,4.80,2.00,106.7368947,0.822148457
411.83,196.73,29.42,0.07,3.48,1.98,14.00,2.29,13.71,2.71,2.54,277.4874758,0.343979399
352.88,102.99,70.58,0.05,5.69,2.54,5.00,1.20,30.00,4.00,1.58,109.7594158,0.948525437
364.48,70.47,72.90,0.07,8.59,2.24,5.00,2.20,32.20,4.20,2.05,107.3763029,1.054689643
408.43,74.83,81.69,0.07,9.06,2.28,5.00,2.20,35.80,4.40,2.02,109.4902016,1.274827255
264.39,101.00,52.88,0.05,4.35,2.52,5.00,1.20,23.60,3.80,1.62,109.0362093,1.066363202
350.06,103.42,70.01,0.05,5.62,2.54,5.00,1.00,29.80,4.00,1.58,111.7460146,0.713431737
129.16,25.47,64.58,0.08,8.42,2.55,2.00,3.00,29.00,4.00,2.05,44.39621871,1.27480419
236.58,58.18,118.29,0.03,6.75,3.08,2.00,2.00,50.00,5.00,1.92,49.27848148,0.399691024
521.40,160.01,74.49,0.04,5.41,2.31,7.00,1.14,31.43,4.00,1.98,158.7675947,0.230695803
210.36,57.16,52.59,0.07,6.11,1.94,4.00,1.50,23.50,3.25,2.64,82.04484945,1.399085035
66.43,64.86,13.29,0.08,1.70,2.18,5.00,0.80,6.80,2.00,1.75,72.84287111,1.022758194
59.70,12.95,29.85,0.15,7.65,1.86,2.00,1.50,14.50,2.50,2.06,34.53687673,1.103119254
86.48,55.36,43.24,0.04,2.59,3.03,2.00,1.00,19.00,3.00,1.51,39.90532187,0.634658608
381.98,135.39,27.28,0.10,4.68,1.92,14.00,1.43,12.57,2.43,1.89,159.3897895,1.658354878
700.07,66.65,175.02,0.06,17.44,2.87,4.00,1.75,70.75,5.75,2.10,97.24794963,0.525135546
632.50,54.45,158.12,0.07,19.29,2.68,4.00,3.25,64.25,5.50,2.11,95.00229474,1.211681076
397.44,117.65,79.49,0.04,5.61,2.65,5.00,1.40,34.60,4.40,1.63,113.9221972,0.98319313
485.93,119.66,97.19,0.04,6.74,2.67,5.00,1.40,41.00,4.60,1.60,114.5970702,0.892617668
251.79,66.19,41.96,0.09,6.32,2.41,6.00,0.33,18.33,3.00,1.69,119.8507141,0.964900461
599.40,72.67,149.85,0.06,13.70,2.87,4.00,1.25,60.75,5.25,1.93,96.89836082,-0.122703539
382.58,155.88,63.76,0.04,4.08,3.19,6.00,0.67,27.33,4.00,1.37,143.5264393,0.302244321
85.91,23.25,42.96,0.09,6.14,2.47,2.00,2.00,20.00,3.50,1.75,43.26365338,1.658926745
186.54,49.16,46.63,0.08,6.30,2.52,4.00,2.75,21.75,3.75,1.70,88.14069637,1.560229534
322.86,56.61,80.71,0.07,9.47,2.64,4.00,1.75,35.25,4.25,1.68,93.84531563,0.361557861
219.20,27.51,109.60,0.07,13.23,2.61,2.00,2.00,45.00,4.50,1.91,44.85748484,2.367896123
87.89,65.19,21.97,0.06,2.24,2.85,4.00,1.00,10.50,2.75,1.45,89.20087906,0.799237134
187.80,47.83,46.95,0.08,6.52,2.50,4.00,3.50,21.50,3.75,1.59,87.74019228,1.508623974
85.67,24.26,42.84,0.08,5.86,2.51,2.00,1.50,20.50,3.50,1.76,44.85244925,1.14066514
189.32,55.84,47.33,0.07,5.63,2.63,4.00,1.50,22.50,3.75,1.70,92.2352446,0.670653972
71.94,38.65,35.97,0.05,3.09,2.93,2.00,1.00,17.00,3.50,1.49,45.41349027,1.152349508
197.84,109.25,32.97,0.05,3.01,2.84,6.00,1.00,15.67,3.33,1.53,134.5022877,1.143358351
244.19,42.25,81.40,0.07,9.60,2.65,3.00,2.00,34.00,4.00,1.81,64.88569562,1.351480646
133.40,29.17,66.70,0.07,7.59,2.67,2.00,0.50,29.50,3.50,1.91,46.54589841,1.285444783
129.89,27.15,64.94,0.07,7.94,2.60,2.00,2.00,29.00,4.00,1.94,44.82866135,1.370938479
283.17,142.40,47.19,0.04,3.30,3.10,6.00,0.67,21.33,3.67,1.39,141.9860337,0.522809253
115.89,46.96,57.94,0.04,4.10,3.12,2.00,1.00,26.00,4.00,1.42,46.85886227,1.081599313
293.70,109.65,73.42,0.04,4.45,3.38,4.00,1.00,32.50,4.50,1.32,96.54039235,0.588327741
285.74,122.33,47.62,0.05,3.88,2.95,6.00,1.00,21.67,3.67,1.48,137.742413,0.980312497
169.85,77.40,42.46,0.05,3.64,3.01,4.00,1.00,19.50,3.50,1.51,91.59042938,1.017325555
236.57,72.08,59.14,0.06,5.45,2.86,4.00,1.00,25.50,3.50,1.42,92.14856718,0.424897963
347.91,72.52,86.98,0.06,7.97,2.95,4.00,0.75,38.25,4.50,1.78,96.56033988,0.497662075
477.45,130.36,79.58,0.05,6.08,3.01,6.00,1.00,35.00,4.33,1.60,146.1033322,0.09985322
693.12,64.41,173.28,0.06,17.87,2.83,4.00,1.75,70.25,5.75,2.13,96.80898851,0.730329986
152.82,40.82,76.41,0.05,6.22,2.98,2.00,1.00,34.00,4.50,1.65,48.2576134,0.741939078
