Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
219.39,31.72,109.69,0.06,11.48,2.74,2.00,1.00,45.00,4.50,1.76,46.21263693,1.675732528
31.25,40.25,15.62,0.05,1.29,2.97,2.00,0.50,7.50,2.50,1.15,45.04756103,1.456730323
212.98,45.66,106.49,0.04,7.75,3.10,2.00,2.50,45.50,5.00,1.69,48.76383913,0.203739809
307.01,36.44,153.51,0.05,13.99,2.87,2.00,0.00,63.00,5.00,2.05,48.97761243,0.415123655
194.04,52.45,97.02,0.04,6.14,3.24,2.00,0.00,42.00,4.50,1.58,49.14897729,0.18503192
233.43,31.49,116.71,0.06,12.31,2.73,2.00,3.50,48.50,5.00,1.43,47.47738799,1.545542141
214.67,40.19,107.33,0.05,8.87,2.97,2.00,4.00,46.00,5.00,1.83,48.34255138,1.165748682
176.14,30.33,88.07,0.07,9.64,2.70,2.00,0.50,38.50,4.00,2.01,48.52538121,-0.023319954
67.71,17.87,33.85,0.11,6.29,2.26,2.00,1.00,16.00,3.00,1.74,39.55811542,2.13801834
106.80,26.11,53.40,0.08,6.79,2.57,2.00,2.50,24.50,4.00,1.71,47.02414803,0.733133039
368.72,34.59,184.36,0.06,17.70,2.82,2.00,3.00,74.00,6.00,1.75,47.95723682,1.918161445
404.17,49.20,202.08,0.04,13.64,3.17,2.00,1.50,80.50,6.00,2.10,49.63850995,-0.509746469
332.41,58.38,166.21,0.03,9.46,3.36,2.00,1.00,67.00,6.00,1.55,49.45174234,0.131297797
151.38,36.52,75.69,0.05,6.88,2.87,2.00,0.50,33.50,4.00,1.78,47.9530407,0.628399149
155.90,140.57,77.95,0.01,1.84,4.50,2.00,1.00,33.00,4.50,0.86,49.62811817,-0.026221193
177.41,105.60,88.70,0.02,2.79,4.09,2.00,0.00,38.00,5.00,0.95,49.25943127,0.301095135
264.23,78.18,132.12,0.03,5.61,3.70,2.00,0.50,54.50,5.50,1.78,49.4586095,0.595496222
144.27,85.94,72.13,0.02,2.79,3.82,2.00,0.50,29.50,4.00,0.94,48.11510241,0.314183339
154.31,46.06,77.16,0.04,5.56,3.10,2.00,0.50,34.50,4.50,1.44,48.6440259,0.761702368
113.36,26.85,56.68,0.07,7.01,2.59,2.00,0.50,24.50,3.00,1.59,43.52718956,1.362652088
158.63,46.03,79.31,0.04,5.72,3.10,2.00,1.00,35.00,4.50,1.52,48.33262635,0.787262057
379.08,42.53,189.54,0.05,14.80,3.02,2.00,1.00,76.00,6.00,1.60,49.09078321,0.615981597
202.44,68.19,101.22,0.03,4.93,3.54,2.00,0.50,43.50,5.00,1.37,49.22854432,0.133762385
289.50,52.08,144.75,0.04,9.23,3.23,2.00,0.50,59.50,5.50,1.56,49.14158718,0.37412486
307.04,34.61,153.52,0.06,14.73,2.82,2.00,2.00,63.00,5.50,1.99,48.44037504,0.577595191
127.21,30.46,63.61,0.07,6.94,2.70,2.00,1.50,28.50,4.00,1.80,45.82157485,2.010511963
281.45,35.66,140.73,0.06,13.11,2.85,2.00,3.00,58.00,5.50,1.77,47.29917186,1.639606003
127.70,96.15,63.85,0.02,2.21,3.97,2.00,0.00,29.00,4.50,0.98,49.08605316,0.334453751
306.09,44.35,153.05,0.05,11.46,3.07,2.00,2.00,62.00,5.50,1.70,48.78122272,1.265336778
215.32,33.98,107.66,0.06,10.52,2.80,2.00,1.50,46.50,5.00,1.98,48.13253771,0.936423255
212.81,84.84,106.40,0.02,4.17,3.81,2.00,1.00,45.00,5.00,1.88,49.60201435,-0.196570199
172.00,187.58,86.00,0.01,1.52,4.96,2.00,1.00,37.00,5.00,0.80,49.74890201,-0.556674416
221.27,36.10,110.64,0.06,10.18,2.86,2.00,0.50,45.50,4.50,1.86,47.55510507,0.796470257
241.92,39.68,120.96,0.05,10.12,2.95,2.00,1.00,50.00,5.00,1.88,48.2556139,0.675411694
259.81,101.86,129.90,0.02,4.24,4.04,2.00,1.00,54.00,5.50,1.73,49.69641754,-0.055862927
169.97,27.59,84.98,0.07,10.23,2.62,2.00,0.50,37.50,4.00,2.05,47.62243996,0.838830208
245.55,44.00,122.77,0.05,9.27,3.06,2.00,0.50,50.50,5.00,1.63,48.43951285,0.95777963
282.43,74.14,141.22,0.03,6.33,3.64,2.00,1.00,58.00,5.50,1.61,49.63456485,-0.418084459
105.49,50.03,52.74,0.04,3.50,3.19,2.00,0.00,25.00,4.00,1.33,48.4219713,0.430864843
235.89,28.66,117.94,0.07,13.67,2.65,2.00,4.00,49.00,5.00,1.53,46.11298956,1.861271485
283.99,43.08,141.99,0.05,10.95,3.04,2.00,1.50,58.50,5.50,1.71,48.81255863,0.340424284
144.90,29.84,72.45,0.07,8.06,2.69,2.00,5.50,32.50,4.50,1.63,45.98585645,2.007150105
593.79,68.66,148.45,0.06,14.36,2.81,4.00,3.00,60.50,5.50,1.53,96.43500394,1.033906037
95.74,57.62,23.94,0.07,2.76,2.65,4.00,1.50,10.50,2.50,1.28,85.87896948,0.44352896
221.41,69.98,55.35,0.06,5.25,2.83,4.00,0.75,22.25,3.00,1.21,90.00027939,0.326048968
729.05,68.75,182.26,0.06,17.61,2.82,4.00,3.50,73.50,6.00,1.60,95.85632723,1.847251755
342.76,58.81,85.69,0.07,9.68,2.67,4.00,5.75,37.75,4.75,2.01,94.11321134,1.164709664
285.85,206.66,71.46,0.02,2.30,4.06,4.00,0.25,31.25,4.50,0.95,98.67353489,-0.412333926
345.04,53.51,86.26,0.07,10.71,2.59,4.00,3.00,36.50,4.50,1.77,91.34883008,1.545789398
338.76,60.86,84.69,0.07,9.24,2.70,4.00,5.25,37.25,4.75,2.03,91.58504971,1.742615169
301.96,234.17,75.49,0.02,2.14,4.24,4.00,0.25,33.25,4.75,0.92,98.86322177,-0.068903344
160.54,113.82,40.13,0.04,2.34,3.33,4.00,0.00,18.50,3.50,1.22,95.95037078,0.000434077
474.03,62.68,118.51,0.06,12.56,2.73,4.00,5.75,50.25,5.25,2.10,94.55470097,1.251200055
721.33,76.56,180.33,0.05,15.64,2.92,4.00,2.75,72.75,6.00,1.45,97.88843985,0.363442741
475.69,72.82,118.92,0.05,10.85,2.87,4.00,4.00,50.50,5.25,1.80,95.9034115,0.652980828
344.02,319.87,86.01,0.01,1.79,4.70,4.00,0.75,37.25,5.00,0.85,99.46130973,-0.404228298
737.93,69.72,184.48,0.06,17.58,2.83,4.00,2.75,74.25,6.00,1.68,96.76998541,1.116342039
635.75,73.37,158.94,0.05,14.39,2.88,4.00,3.50,65.00,5.75,1.53,96.79541319,1.238748439
181.38,120.85,45.35,0.03,2.49,3.40,4.00,0.75,20.25,3.50,1.12,97.91707734,-0.473867579
343.05,53.36,85.76,0.07,10.68,2.59,4.00,3.25,36.25,4.50,1.77,89.86119449,1.710802552
342.20,49.64,85.55,0.08,11.45,2.53,4.00,5.75,36.75,4.50,1.72,91.81143382,1.529250645
47.80,67.07,11.95,0.06,1.18,2.79,4.00,1.00,5.50,2.25,1.14,87.05417867,0.567426345
123.73,54.64,30.93,0.07,3.76,2.61,4.00,1.50,13.50,2.75,1.31,85.6321073,0.661310923
434.97,234.88,108.74,0.02,3.08,4.24,4.00,0.25,44.75,5.25,0.90,99.06273082,-0.772756218
497.45,277.48,124.36,0.01,2.98,4.48,4.00,0.25,51.25,5.75,0.87,99.32548372,-0.161232741
700.77,128.22,175.19,0.03,9.08,3.47,4.00,0.75,70.25,5.75,1.59,99.06405264,-0.622602673
250.20,332.54,62.55,0.01,1.25,4.76,4.00,1.00,28.00,4.50,0.81,99.38605572,-0.926574943
305.70,71.16,76.43,0.06,7.13,2.85,4.00,4.00,34.00,4.50,1.60,93.13815543,0.812438714
334.56,64.84,83.64,0.06,8.57,2.76,4.00,4.75,37.25,4.75,1.66,93.47062375,1.61768167
139.53,70.95,34.88,0.06,3.27,2.85,4.00,1.25,14.75,2.75,1.23,88.25693605,1.018866863
484.18,437.31,121.05,0.01,1.84,5.22,4.00,1.00,50.50,5.75,0.80,99.63921504,-0.912751132
335.69,63.12,83.92,0.06,8.83,2.74,4.00,5.00,37.00,4.75,2.01,92.21900072,1.632963168
606.49,59.90,151.62,0.07,16.81,2.69,4.00,4.25,61.75,5.50,1.81,94.16466607,1.587273083
470.94,68.47,117.73,0.06,11.42,2.81,4.00,4.50,50.00,5.25,1.75,94.33960584,1.344058072
90.55,64.04,22.64,0.06,2.35,2.75,4.00,1.00,10.00,2.50,1.19,87.88670304,0.825452084
206.93,47.08,51.73,0.08,7.30,2.48,4.00,5.25,23.75,4.00,1.65,88.00680429,2.3652071
51.80,52.19,12.95,0.08,1.65,2.57,4.00,1.50,6.00,2.25,1.28,83.06503755,0.699707678
124.24,231.41,31.06,0.02,0.89,4.22,4.00,1.00,15.00,3.50,0.86,98.60678153,-0.862076488
337.65,65.13,84.41,0.06,8.61,2.77,4.00,4.50,37.50,4.75,1.67,94.1494298,1.556362815
466.31,67.68,116.58,0.06,11.44,2.80,4.00,5.00,49.50,5.25,1.95,94.3966481,1.396356293
157.37,253.95,39.34,0.02,1.03,4.35,4.00,0.75,19.25,4.00,0.87,98.95649514,-0.111045872
127.18,150.66,31.79,0.03,1.40,3.66,4.00,0.25,15.75,3.50,1.00,96.35150333,-0.317250402
244.67,61.83,61.17,0.06,6.57,2.72,4.00,2.50,27.50,4.25,1.71,94.78356338,0.252561786
369.94,77.32,92.49,0.05,7.95,2.93,4.00,4.25,40.75,5.00,1.53,96.68947162,0.613429522
645.75,68.18,161.44,0.06,15.73,2.81,4.00,3.00,66.00,5.75,1.69,95.98053026,1.472229712
733.07,67.98,183.27,0.06,17.91,2.81,4.00,3.25,73.75,6.00,1.68,95.7015914,1.794069584
269.80,191.12,67.45,0.02,2.34,3.96,4.00,0.25,29.25,4.25,0.96,97.9929278,-0.696782336
400.19,225.98,100.05,0.02,2.94,4.19,4.00,0.00,42.50,5.25,0.94,98.93414501,0.285084503
117.87,90.25,29.47,0.04,2.17,3.08,4.00,0.25,14.25,3.25,1.32,93.23987529,0.840983837
161.82,98.07,40.46,0.04,2.74,3.17,4.00,0.25,18.75,3.50,1.29,94.0667853,0.616370472
333.66,65.38,83.41,0.06,8.47,2.77,4.00,5.00,37.00,4.75,1.59,93.57289638,1.545084344
95.95,113.30,23.99,0.04,1.41,3.33,4.00,1.00,11.50,3.00,1.10,97.0920023,-0.115731545
228.02,74.99,57.01,0.05,5.05,2.90,4.00,1.25,22.75,3.00,1.19,89.60214728,0.600798708
208.67,48.89,52.17,0.08,7.09,2.51,4.00,3.25,23.75,4.00,1.68,89.69685693,2.062431553
204.91,274.85,51.23,0.01,1.24,4.47,4.00,0.75,23.75,4.25,0.85,99.1156972,-0.504386292
183.79,120.80,45.95,0.03,2.53,3.40,4.00,1.00,20.50,3.50,1.14,97.73326077,-0.341416285
464.93,68.89,116.23,0.06,11.21,2.82,4.00,5.00,49.50,5.25,1.68,93.70515561,1.511027292
822.13,129.67,205.53,0.03,10.53,3.48,4.00,1.50,81.50,6.00,1.83,99.38923926,-0.688882157
590.71,71.86,147.68,0.06,13.65,2.86,4.00,2.75,60.25,5.50,1.51,96.90512191,0.726996014
536.04,395.14,134.01,0.01,2.25,5.04,4.00,0.75,55.25,6.00,0.82,99.59671207,-0.556627475
465.89,78.53,116.47,0.05,9.85,2.94,4.00,2.25,49.25,5.25,1.55,96.60414676,0.583946522
451.08,266.42,112.77,0.02,2.81,4.42,4.00,0.25,46.75,5.50,0.87,99.16120114,-0.33774284
135.64,73.45,33.91,0.05,3.07,2.88,4.00,1.00,14.50,2.75,1.18,89.2186452,0.707493529
210.93,44.95,52.73,0.09,7.79,2.44,4.00,5.75,24.25,4.00,1.63,90.7946719,1.983937352
379.04,68.43,94.76,0.06,9.20,2.81,4.00,5.00,41.50,5.00,1.95,93.69127727,1.469910338
594.84,66.57,148.71,0.06,14.84,2.79,4.00,3.75,60.75,5.50,1.54,95.75569674,1.167494562
735.06,68.23,183.77,0.06,17.89,2.81,4.00,3.00,74.00,6.00,1.68,96.14892866,1.488621213
731.86,122.18,182.96,0.03,9.95,3.41,4.00,1.25,73.25,5.75,1.84,99.27290007,-0.497941777
209.14,153.81,52.28,0.03,2.26,3.68,4.00,0.25,24.75,4.25,1.06,97.14952828,0.308841761
486.34,375.66,121.58,0.01,2.15,4.96,4.00,0.75,50.75,5.75,0.83,99.56895579,-0.750972947
468.77,65.59,117.19,0.06,11.87,2.77,4.00,5.25,49.75,5.25,2.00,93.24576094,1.56908116
544.89,287.00,136.22,0.01,3.15,4.53,4.00,0.25,55.75,6.00,0.87,99.3905435,-0.02275667
634.07,77.24,158.52,0.05,13.63,2.93,4.00,2.75,64.75,5.75,1.46,97.48833876,0.482816436
90.58,35.60,22.65,0.11,4.23,2.26,4.00,0.25,10.25,2.50,1.65,74.97091135,1.133634698
393.54,76.42,98.38,0.05,8.55,2.92,4.00,4.00,43.00,5.00,1.65,95.27364701,0.653685155
499.60,245.02,124.90,0.02,3.39,4.30,4.00,0.00,51.50,5.75,0.91,99.15919049,0.220369632
348.33,244.63,87.08,0.02,2.36,4.30,4.00,0.25,37.75,5.00,0.92,99.08155581,0.10054285
339.03,53.95,84.76,0.07,10.44,2.60,4.00,3.50,36.00,4.50,1.70,90.61293265,1.656519829
210.24,121.86,52.56,0.03,2.86,3.41,4.00,0.00,23.00,3.75,1.21,96.51880647,0.09184275
820.35,125.96,205.09,0.03,10.81,3.45,4.00,1.25,81.25,6.00,1.80,99.33998472,-0.360652985
93.27,129.38,23.32,0.03,1.20,3.48,4.00,0.75,11.25,3.00,1.03,97.60482772,0.116009679
385.14,70.20,96.28,0.06,9.11,2.84,4.00,3.75,42.25,4.75,1.75,95.27151506,1.070407322
109.05,153.49,27.26,0.03,1.18,3.68,4.00,0.75,13.25,3.25,0.95,97.91708504,-0.483517511
380.73,65.69,95.18,0.06,9.62,2.77,4.00,5.75,41.75,5.00,2.02,92.62948093,1.881795359
143.22,164.97,35.81,0.02,1.44,3.77,4.00,0.25,17.75,3.75,0.98,97.51358348,0.049179245
480.87,92.15,120.22,0.04,8.67,3.10,4.00,2.00,50.50,5.25,1.45,97.08052867,0.26700737
86.23,65.72,21.56,0.06,2.18,2.77,4.00,0.75,9.75,2.50,1.15,89.31301847,0.603696366
93.46,60.05,23.37,0.07,2.58,2.69,4.00,1.25,10.25,2.50,1.24,86.38568411,0.808960042
84.37,60.95,21.09,0.07,2.30,2.71,4.00,1.00,9.50,2.50,1.21,88.81825748,0.097604329
133.23,73.63,33.31,0.05,3.00,2.88,4.00,0.75,14.25,2.75,1.16,90.24210676,0.557867962
179.81,54.96,44.95,0.07,5.43,2.61,4.00,2.50,20.50,3.75,1.63,89.70549538,0.762911025
379.79,67.95,94.95,0.06,9.28,2.80,4.00,4.75,41.75,5.00,1.75,93.63253939,1.755836758
302.94,203.90,75.73,0.02,2.47,4.05,4.00,0.00,33.50,4.75,0.96,98.5099882,0.140288012
468.95,68.23,117.24,0.06,11.41,2.81,4.00,4.75,49.75,5.25,1.75,93.582579,1.531938515
276.17,119.31,69.04,0.03,3.84,3.38,4.00,1.25,28.75,3.75,1.15,97.65452393,-0.189680094
79.86,86.45,19.96,0.05,1.53,3.04,4.00,0.25,9.75,2.75,1.23,92.45933248,0.510102448
273.35,123.55,68.34,0.03,3.67,3.42,4.00,1.00,28.50,3.75,1.15,97.95467796,-0.515871064
202.76,311.74,50.69,0.01,1.08,4.66,4.00,1.00,23.50,4.25,0.82,99.33108667,-0.685774529
382.19,86.29,95.55,0.05,7.35,3.04,4.00,0.25,41.25,4.75,1.61,97.18957553,0.529301998
217.79,62.43,54.45,0.06,5.79,2.73,4.00,1.00,22.00,3.00,1.34,88.49261976,0.146933835
636.14,119.82,159.03,0.03,8.82,3.39,4.00,1.00,63.50,5.25,1.58,98.88158354,-0.814457845
314.80,62.37,78.70,0.06,8.38,2.73,4.00,4.75,34.75,4.50,2.02,92.09325747,1.064570292
287.17,177.86,71.79,0.02,2.68,3.87,4.00,0.00,31.50,4.50,1.04,98.41071035,-0.744510402
393.73,334.75,98.43,0.01,1.95,4.77,4.00,0.75,41.75,5.25,0.84,99.49426127,-0.668896774
326.59,71.84,81.65,0.06,7.55,2.86,4.00,4.25,36.25,4.75,1.59,96.02447006,0.933142955
643.91,67.77,160.98,0.06,15.78,2.80,4.00,3.25,65.75,5.75,1.68,95.51570726,1.530250939
597.78,65.32,149.45,0.06,15.20,2.77,4.00,3.50,61.00,5.50,1.51,95.37203983,1.300856243
279.39,298.58,69.85,0.01,1.55,4.59,4.00,1.00,30.50,4.50,0.85,99.43208127,-1.272312376
251.93,50.51,62.98,0.08,8.28,2.54,4.00,6.00,28.50,4.25,1.79,90.05377354,1.81432752
339.82,59.52,84.95,0.07,9.48,2.68,4.00,6.00,37.50,4.75,2.04,92.22497049,1.651219846
144.54,143.72,36.13,0.03,1.67,3.60,4.00,0.00,18.00,3.75,1.08,96.83853715,-0.023659193
140.28,251.90,35.07,0.02,0.92,4.34,4.00,1.00,17.00,3.75,0.85,99.08377461,-0.7112814
128.69,67.41,32.17,0.06,3.17,2.80,4.00,1.00,14.00,2.75,1.22,89.86087364,0.170936109
468.76,80.02,117.19,0.05,9.73,2.96,4.00,2.00,49.50,5.25,1.55,96.81147777,0.730475417
473.80,70.06,118.45,0.06,11.23,2.83,4.00,4.25,50.25,5.25,1.75,95.40343813,0.898489326
225.21,74.32,56.30,0.05,5.03,2.89,4.00,1.00,22.50,3.00,1.19,90.00967146,0.457473135
43.81,97.58,10.95,0.04,0.75,3.16,4.00,1.00,5.00,2.25,0.97,93.58592171,0.047313816
332.78,66.76,83.19,0.06,8.28,2.79,4.00,4.75,36.75,4.75,1.96,93.62480092,1.282508824
45.13,80.66,11.28,0.05,0.93,2.97,4.00,0.75,5.25,2.25,1.06,90.37983273,0.382215223
203.17,57.75,50.79,0.07,5.84,2.66,4.00,0.25,23.25,3.50,1.48,92.67154745,0.421686172
75.91,130.95,18.98,0.03,0.96,3.49,4.00,1.00,9.00,2.75,0.94,97.1699397,-0.199289794
335.82,61.79,83.95,0.06,9.02,2.72,4.00,2.25,35.75,4.50,1.71,93.88208841,0.898593557
85.73,33.97,21.43,0.12,4.19,2.23,4.00,0.50,10.00,2.50,1.66,74.07326661,1.043872912
257.56,186.12,64.39,0.02,2.30,3.92,4.00,0.00,29.00,4.50,0.97,97.97531482,0.128205344
421.71,356.37,105.43,0.01,1.96,4.87,4.00,1.00,44.00,5.25,0.83,99.52924505,-1.485027457
463.90,78.63,115.98,0.05,9.80,2.94,4.00,2.50,49.00,5.25,1.55,96.66184216,0.258421758
112.99,104.34,28.25,0.04,1.80,3.24,4.00,0.00,14.00,3.25,1.23,94.88565506,0.364494712
452.06,230.21,113.01,0.02,3.26,4.21,4.00,0.00,47.00,5.50,0.92,98.94940085,0.008174184
254.62,287.37,63.66,0.01,1.47,4.54,4.00,0.75,28.25,4.50,0.84,99.1578255,-0.628728899
418.92,215.18,104.73,0.02,3.23,4.12,4.00,0.25,42.75,5.00,0.91,98.48587146,-1.193860743
108.07,179.91,27.02,0.02,1.00,3.88,4.00,1.00,13.00,3.25,0.90,98.61202675,-0.794633212
295.50,346.76,73.88,0.01,1.42,4.83,4.00,1.00,32.50,4.75,0.82,99.49986059,-0.862899195
459.67,73.39,114.92,0.05,10.40,2.88,4.00,4.50,49.00,5.25,1.58,95.98791103,1.206529052
739.81,72.26,184.95,0.06,17.00,2.86,4.00,2.50,74.50,6.00,1.73,97.08511559,0.823526394
33.98,35.72,8.49,0.11,1.58,2.26,4.00,0.25,3.75,2.00,1.42,68.4837172,1.496015839
253.89,52.82,63.47,0.08,7.98,2.58,4.00,3.25,28.25,4.25,1.77,90.31876788,1.885982811
241.18,65.18,60.30,0.06,6.14,2.77,4.00,0.25,27.75,4.00,1.58,95.23313837,0.516667559
207.85,179.69,51.96,0.02,1.92,3.88,4.00,0.00,24.50,4.25,0.99,97.77414833,0.218719267
649.26,69.75,162.32,0.06,15.46,2.83,4.00,2.25,66.25,5.50,1.68,96.5376314,1.213119139
389.31,387.46,97.33,0.01,1.67,5.01,4.00,1.00,41.50,5.25,0.81,99.59432869,-0.866716634
48.91,57.80,12.23,0.07,1.41,2.66,4.00,1.25,5.75,2.25,1.21,84.33141437,0.837455857
381.62,68.44,95.41,0.06,9.26,2.81,4.00,4.50,42.00,5.00,1.77,94.42121676,1.509377281
437.81,415.39,109.45,0.01,1.75,5.13,4.00,1.00,46.00,5.50,0.80,99.58831207,-1.125953274
95.90,99.86,23.98,0.04,1.59,3.19,4.00,0.25,11.75,3.00,1.22,95.42620737,0.440610008
187.68,114.02,46.92,0.04,2.73,3.33,4.00,1.25,20.75,3.50,1.19,97.38191564,-0.160584807
457.21,76.65,114.30,0.05,9.91,2.92,4.00,4.25,48.75,5.25,1.53,97.03511144,0.495308395
333.83,62.00,83.46,0.06,8.94,2.72,4.00,2.50,35.50,4.50,1.71,94.22573341,0.499040657
102.08,16.09,51.04,0.12,10.53,2.00,2.00,2.50,22.50,3.00,2.20,35.36754562,1.49909571
7.95,15.97,3.97,0.13,0.83,2.00,2.00,1.00,2.00,1.50,1.59,27.25937036,1.382089119
58.96,23.06,29.48,0.09,4.25,2.26,2.00,2.00,14.00,3.00,2.20,38.38051162,1.561125245
105.94,40.99,52.97,0.05,4.29,2.74,2.00,1.50,23.50,3.50,2.08,47.87076394,0.481170213
122.79,34.87,61.39,0.06,5.85,2.59,2.00,2.50,27.50,4.00,1.86,46.70145935,1.003675903
210.67,59.96,105.33,0.03,5.83,3.11,2.00,2.00,45.00,5.00,1.63,48.40639657,1.55065632
215.22,76.04,107.61,0.03,4.70,3.36,2.00,1.00,45.00,5.00,1.53,49.03399481,1.034989216
192.50,23.36,96.25,0.09,13.68,2.27,2.00,2.50,39.50,4.00,2.17,40.03680935,2.396670014
25.94,16.72,12.97,0.12,2.58,2.03,2.00,1.00,6.00,2.00,2.48,41.15310919,1.121001435
103.91,16.63,51.96,0.12,10.38,2.03,2.00,2.00,23.00,3.00,2.24,41.8634805,0.519946064
102.04,29.66,51.02,0.07,5.71,2.46,2.00,1.50,22.50,3.50,1.69,40.73031657,2.190331698
64.01,16.87,32.00,0.12,6.30,2.04,2.00,4.00,15.00,3.00,2.11,37.0957695,0.361501188
163.83,49.69,81.91,0.04,5.47,2.92,2.00,2.00,36.00,4.50,1.70,47.71283196,1.768800839
279.56,34.18,139.78,0.06,13.58,2.81,2.00,3.00,58.00,5.50,1.75,47.6494789,1.579383404
170.79,27.91,85.40,0.07,10.16,2.63,2.00,2.50,37.50,4.50,2.01,47.32489466,0.972813569
147.84,28.88,73.92,0.07,8.50,2.66,2.00,5.00,33.00,4.50,1.58,45.83055428,2.124178055
119.00,66.05,59.50,0.03,2.99,3.50,2.00,1.00,27.00,4.00,1.89,49.28174281,0.007918391
170.86,30.64,85.43,0.07,9.26,2.71,2.00,4.50,37.50,4.50,2.17,47.64315951,1.419327797
234.34,30.84,117.17,0.06,12.62,2.72,2.00,3.00,49.00,5.00,1.57,47.18803052,1.553361074
640.87,129.65,160.22,0.03,8.21,3.58,4.00,0.25,64.75,5.50,1.63,99.10348793,-1.465631165
364.22,64.72,91.05,0.06,9.34,2.84,4.00,0.25,39.75,4.00,1.99,95.7063575,0.871905534
445.36,79.62,111.34,0.05,9.29,3.04,4.00,1.50,48.00,5.00,1.96,98.33937601,0.062694773
343.57,62.81,85.89,0.06,9.08,2.81,4.00,0.00,37.50,3.75,1.98,94.88527066,0.756947837
430.02,69.20,107.51,0.06,10.32,2.90,4.00,0.75,46.75,4.75,2.00,97.15541644,0.828904682
434.08,66.22,108.52,0.06,10.89,2.86,4.00,0.25,46.75,4.25,2.10,96.70582,0.729359206
223.77,106.42,55.94,0.04,3.49,3.35,4.00,1.00,25.50,4.25,1.33,96.17606602,0.630254936
125.90,69.25,31.48,0.06,3.02,2.90,4.00,1.00,15.00,3.25,1.55,89.27592027,1.558180378
700.77,126.26,175.19,0.03,9.22,3.55,4.00,0.75,70.25,5.75,1.59,99.04457434,-0.444832973
224.00,42.93,56.00,0.09,8.66,2.48,4.00,0.25,22.75,3.00,1.78,81.9455385,0.879210605
181.51,29.39,45.38,0.14,10.25,2.18,4.00,1.25,18.75,2.25,1.98,43.52318015,1.047975405
109.03,63.72,27.26,0.06,2.84,2.82,4.00,1.25,13.25,3.00,1.68,92.38679499,0.429558499
405.36,111.24,101.34,0.04,6.05,3.40,4.00,2.25,43.25,4.75,1.79,98.32423481,-0.157983952
627.59,56.39,156.90,0.07,18.48,2.71,4.00,3.00,63.50,5.50,2.06,95.02065148,1.201943063
742.67,89.81,185.67,0.04,13.73,3.17,4.00,2.00,74.50,6.00,1.43,97.90536425,0.682343669
399.15,57.46,99.79,0.07,11.53,2.73,4.00,4.50,43.50,5.00,2.19,94.92981857,1.628337834
677.72,57.52,169.43,0.07,19.56,2.73,4.00,3.25,68.75,5.75,2.20,95.38937404,1.789044563
789.64,69.08,197.41,0.06,18.98,2.90,4.00,1.75,78.75,6.00,2.10,97.88705361,0.419030029
671.76,57.16,167.94,0.07,19.52,2.72,4.00,4.00,68.00,5.75,2.20,95.7448364,1.859282438
672.59,59.07,168.15,0.07,18.91,2.75,4.00,3.75,68.25,5.75,2.19,95.69106007,1.567002827
693.12,64.41,173.28,0.06,17.87,2.83,4.00,1.75,70.25,5.75,2.13,96.80969269,0.730814564
161.82,101.72,40.46,0.04,2.64,3.30,4.00,0.25,18.75,3.50,1.29,94.8933262,0.650385242
392.38,89.93,98.10,0.04,7.25,3.17,4.00,2.00,42.50,5.00,1.49,96.64490553,0.343447984
94.25,30.64,23.56,0.13,5.11,2.21,4.00,1.25,10.75,2.00,1.98,44.00219902,1.113241232
792.45,70.64,198.11,0.06,18.63,2.92,4.00,2.00,79.00,6.00,2.10,98.11798891,0.233706654
482.90,62.80,120.73,0.06,12.77,2.81,4.00,5.00,51.00,5.25,2.17,95.12450782,1.056599976
762.91,57.71,190.73,0.07,21.95,2.73,4.00,3.75,76.25,6.00,2.20,95.91205455,2.136752266
408.17,70.92,102.04,0.06,9.56,2.93,4.00,0.25,44.25,4.25,1.96,96.67708464,0.887234593
526.46,69.81,131.62,0.06,12.52,2.91,4.00,0.50,55.00,4.50,2.10,97.34300118,0.570391144
632.50,54.45,158.12,0.07,19.29,2.68,4.00,3.25,64.25,5.50,2.11,94.99632433,1.231010586
621.63,56.55,155.41,0.07,18.25,2.71,4.00,3.75,62.75,5.50,2.06,95.79523617,0.870234134
712.66,80.21,178.16,0.05,14.75,3.05,4.00,1.50,72.00,5.75,2.31,98.96491947,-0.356784276
697.66,66.29,174.42,0.06,17.48,2.86,4.00,1.50,70.50,5.75,2.07,97.14003202,0.649227733
87.89,65.19,21.97,0.06,2.24,2.85,4.00,1.00,10.50,2.75,1.45,89.20356418,0.799561087
399.94,62.60,99.99,0.06,10.61,2.81,4.00,2.75,43.75,5.00,2.04,95.11721228,1.57578805
343.40,83.08,85.85,0.05,6.86,3.09,4.00,1.75,37.75,4.75,1.45,95.87988624,1.208790587
615.20,71.60,153.80,0.06,14.27,2.94,4.00,0.75,62.25,5.25,2.13,96.99380825,0.052270597
764.27,138.84,191.07,0.03,9.14,3.66,4.00,2.25,76.25,6.00,1.65,99.04022558,-0.688436847
415.20,61.55,103.80,0.06,11.20,2.79,4.00,1.50,45.00,4.25,2.19,96.12703658,0.858386793
213.32,64.53,53.33,0.06,5.49,2.84,4.00,1.75,24.25,4.00,1.61,93.26352468,1.269489594
381.54,115.67,95.38,0.03,5.48,3.45,4.00,1.00,41.50,5.00,1.36,97.76309454,0.657734505
